"year","actual","synthetic","gap","variable"
1988,1.04823696232613,0.976752684521321,0.071484277804807,"rgdpo"
1989,1.13370462563755,1.01672670092362,0.116977924713933,"rgdpo"
1990,1.09321117107866,1.00464090302435,0.0885702680543119,"rgdpo"
1991,0.98107632179524,1.02032022655156,-0.039243904756316,"rgdpo"
1992,1.05776209471478,0.994821053487741,0.062941041227041,"rgdpo"
1993,0.961161583489978,0.987858719960703,-0.0266971364707252,"rgdpo"
1994,0.428923137510715,0.963249625691801,-0.534326488181087,"rgdpo"
1995,0.542091144125112,1.0251957827796,-0.483104638654485,"rgdpo"
1996,0.658334489660547,1.08567377352487,-0.427339283864322,"rgdpo"
1997,0.750697063611428,1.09422577396845,-0.343528710357025,"rgdpo"
1998,0.806537241057211,1.09678600576531,-0.290248764708101,"rgdpo"
1999,0.823985310484591,1.13707153793054,-0.313086227445947,"rgdpo"
2000,0.792875020741939,1.19049244433883,-0.397617423596888,"rgdpo"
2001,0.866262489218556,1.22765499798951,-0.361392508770952,"rgdpo"
2002,1.01304874960728,1.25718610199852,-0.244137352391245,"rgdpo"
2003,1.02672307184423,1.23907399107476,-0.212350919230535,"rgdpo"
2004,1.12052626987493,1.25835942305548,-0.137833153180547,"rgdpo"
2005,1.22229125848237,1.33964266423908,-0.117351405756707,"rgdpo"
2006,1.37201425186463,1.3989722714842,-0.0269580196195742,"rgdpo"
2007,1.47122495651211,1.37174848130104,0.0994764752110693,"rgdpo"
2008,1.59697977554214,1.37005933553037,0.22692044001177,"rgdpo"
2009,1.71981767759075,1.48341306835282,0.236404609237927,"rgdpo"
2010,1.86227626247931,1.54792430899943,0.314351953479883,"rgdpo"
2011,2.01532721355117,1.58447948758671,0.430847725964463,"rgdpo"
